ID,Longitude,Latitude,Elevation_m,SoilDepth_m,Drainage,Permeability,pH,OrganicCarbon_pct,Management_Zone,Recommended_Rotation
82303,148.968888635029,-36.5346243425176,893.0,0.43,4.0,3.0,7.5,2.04,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0054,148.2870178223,-35.9042243958,893.0,3.0,5.0,3.0,3.78,6.88,2,Barley - Chickpea - Wheat
899+SSM+SSM125,147.0760955811,-35.3613166809,893.0,1.0,4.0,3.0,4.52,1.43,0,Oats - Lupin - Pasture
899+BGM_FSS+0122,148.1561889648,-35.7169837952,893.0,1.9,3.0,2.0,4.5,11.83,3,Wheat - Canola - Field Pea
899+BGM_FSS+0145,148.0977783203,-35.6761856079,893.0,1.52,5.0,3.0,4.57,8.266666666666667,3,Wheat - Canola - Field Pea
899+BGM_ESM+1004,148.1313171387,-35.6447257996,893.0,1.41,5.0,3.0,4.64,4.703333333333334,0,Oats - Lupin - Pasture
899+SSM+SSM130,146.588180542,-35.6347465515,893.0,1.0,2.0,3.0,4.71,1.14,0,Oats - Lupin - Pasture
899+BGM_FSS+0053,148.2841186523,-35.8965492249,893.0,2.76,5.0,3.0,4.6325,1.14,2,Barley - Chickpea - Wheat
899+BGM_FSS+0097,148.1547851563,-35.7475891113,893.0,1.91,6.0,4.0,4.555,1.14,2,Barley - Chickpea - Wheat
899+BGM_ESM+1006,148.1890563965,-35.6092147827,893.0,2.01,5.0,3.0,4.4775,1.14,2,Barley - Chickpea - Wheat
898+RAALS+CP399,147.0856170654,-34.8703918457,893.0,1.65,5.0,3.0,4.4,1.14,0,Oats - Lupin - Pasture
899+BGM_FSS+0091,148.1924438477,-35.7609519958,893.0,0.94,6.0,4.0,4.75,2.783333333333333,0,Oats - Lupin - Pasture
899+BGM_ESM+1021,148.2066497803,-35.6764144897,893.0,2.12,6.0,4.0,5.1000000000000005,4.426666666666667,2,Barley - Chickpea - Wheat
899+Morphology+CP336,149.148727417,-37.1530799866,893.0,1.3,4.0,3.0,5.45,6.07,3,Wheat - Canola - Field Pea
899+BGM_ESM+1028,148.1268768311,-35.6996917725,893.0,3.73,5.0,3.0,4.96,5.153333333333333,2,Barley - Chickpea - Wheat
899+BGM_FSS+0137,148.2537078857,-35.5946388245,893.0,0.46,6.0,4.0,4.47,4.236666666666666,3,Wheat - Canola - Field Pea
899+BGM_FSS+0030,148.2666168213,-35.8875923157,893.0,1.7,2.0,2.0,3.98,3.32,0,Oats - Lupin - Pasture
